2024-03-20 19:37:14,126 INFO    StreamThr :1772 [internal.py:wandb_internal():86] W&B internal server running at pid: 1772, started at: 2024-03-20 19:37:14.124996
2024-03-20 19:37:14,127 DEBUG   HandlerThread:1772 [handler.py:handle_request():146] handle_request: status
2024-03-20 19:37:14,133 INFO    WriterThread:1772 [datastore.py:open_for_write():87] open: /mnt/d/WSL/Flight-Fare-Prediction/wandb/run-20240320_193714-dataset/run-dataset.wandb
2024-03-20 19:37:14,134 DEBUG   SenderThread:1772 [sender.py:send():382] send: header
2024-03-20 19:37:14,233 DEBUG   SenderThread:1772 [sender.py:send():382] send: run
2024-03-20 19:37:14,874 INFO    SenderThread:1772 [dir_watcher.py:__init__():211] watching files in: /mnt/d/WSL/Flight-Fare-Prediction/wandb/run-20240320_193714-dataset/files
2024-03-20 19:37:14,874 INFO    SenderThread:1772 [sender.py:_start_run_threads():1136] run started: dataset with start time 1710943634.12623
2024-03-20 19:37:14,883 DEBUG   HandlerThread:1772 [handler.py:handle_request():146] handle_request: check_version
2024-03-20 19:37:14,883 DEBUG   SenderThread:1772 [sender.py:send_request():409] send_request: check_version
2024-03-20 19:37:17,980 DEBUG   HandlerThread:1772 [handler.py:handle_request():146] handle_request: run_start
2024-03-20 19:37:18,043 DEBUG   HandlerThread:1772 [system_info.py:__init__():27] System info init
2024-03-20 19:37:18,043 DEBUG   HandlerThread:1772 [system_info.py:__init__():42] System info init done
2024-03-20 19:37:18,044 INFO    HandlerThread:1772 [system_monitor.py:start():194] Starting system monitor
2024-03-20 19:37:18,044 INFO    SystemMonitor:1772 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-20 19:37:18,044 INFO    HandlerThread:1772 [system_monitor.py:probe():214] Collecting system info
2024-03-20 19:37:18,046 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started cpu monitoring
2024-03-20 19:37:18,047 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started disk monitoring
2024-03-20 19:37:18,048 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started gpu monitoring
2024-03-20 19:37:18,049 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started memory monitoring
2024-03-20 19:37:18,049 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started network monitoring
2024-03-20 19:37:18,065 DEBUG   HandlerThread:1772 [system_info.py:probe():151] Probing system
