2024-03-20 19:44:25,259 INFO    StreamThr :1772 [internal.py:wandb_internal():86] W&B internal server running at pid: 1772, started at: 2024-03-20 19:44:25.255625
2024-03-20 19:44:25,263 DEBUG   HandlerThread:1772 [handler.py:handle_request():146] handle_request: status
2024-03-20 19:44:25,264 INFO    WriterThread:1772 [datastore.py:open_for_write():87] open: /mnt/d/WSL/Flight-Fare-Prediction/wandb/run-20240320_193949-dataset/run-dataset.wandb
2024-03-20 19:44:25,267 DEBUG   SenderThread:1772 [sender.py:send():382] send: header
2024-03-20 19:44:25,267 DEBUG   SenderThread:1772 [sender.py:send():382] send: run
2024-03-20 19:44:25,890 INFO    SenderThread:1772 [dir_watcher.py:__init__():211] watching files in: /mnt/d/WSL/Flight-Fare-Prediction/wandb/run-20240320_193949-dataset/files
2024-03-20 19:44:25,891 INFO    SenderThread:1772 [sender.py:_start_run_threads():1136] run started: dataset with start time 1710944064.469834
2024-03-20 19:44:25,899 DEBUG   HandlerThread:1772 [handler.py:handle_request():146] handle_request: check_version
2024-03-20 19:44:25,900 DEBUG   SenderThread:1772 [sender.py:send_request():409] send_request: check_version
2024-03-20 19:44:25,975 DEBUG   HandlerThread:1772 [handler.py:handle_request():146] handle_request: run_start
2024-03-20 19:44:25,977 DEBUG   HandlerThread:1772 [system_info.py:__init__():27] System info init
2024-03-20 19:44:25,978 DEBUG   HandlerThread:1772 [system_info.py:__init__():42] System info init done
2024-03-20 19:44:25,978 INFO    HandlerThread:1772 [system_monitor.py:start():194] Starting system monitor
2024-03-20 19:44:25,978 INFO    SystemMonitor:1772 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-20 19:44:25,979 INFO    HandlerThread:1772 [system_monitor.py:probe():214] Collecting system info
2024-03-20 19:44:25,979 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started cpu monitoring
2024-03-20 19:44:25,981 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started disk monitoring
2024-03-20 19:44:25,982 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started gpu monitoring
2024-03-20 19:44:25,983 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started memory monitoring
2024-03-20 19:44:25,984 INFO    SystemMonitor:1772 [interfaces.py:start():190] Started network monitoring
2024-03-20 19:44:25,989 DEBUG   HandlerThread:1772 [system_info.py:probe():151] Probing system
2024-03-20 19:44:25,998 DEBUG   HandlerThread:1772 [system_info.py:_probe_git():136] Probing git
2024-03-20 19:44:26,057 DEBUG   HandlerThread:1772 [system_info.py:_probe_git():144] Probing git done
2024-03-20 19:44:26,057 DEBUG   HandlerThread:1772 [system_info.py:probe():199] Probing system done
